NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,V_numerico,variavel_padronizada
6,Município,33,Quilogramas por Hectare,70000,3500105,Adamantina (SP),112,Rendimento médio da produção,2018,2018,40106,Cana-de-açúcar,70000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,75000,3500105,Adamantina (SP),112,Rendimento médio da produção,2019,2019,40106,Cana-de-açúcar,75000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,70000,3500105,Adamantina (SP),112,Rendimento médio da produção,2020,2020,40106,Cana-de-açúcar,70000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,65000,3500105,Adamantina (SP),112,Rendimento médio da produção,2021,2021,40106,Cana-de-açúcar,65000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,65000,3500105,Adamantina (SP),112,Rendimento médio da produção,2022,2022,40106,Cana-de-açúcar,65000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,71111,3500105,Adamantina (SP),112,Rendimento médio da produção,2023,2023,40106,Cana-de-açúcar,71111,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,71481,3500105,Adamantina (SP),112,Rendimento médio da produção,2024,2024,40106,Cana-de-açúcar,71481,rendimento_kg_ha
6,Município,40,Mil Reais,6244,3500105,Adamantina (SP),215,Valor da produção,2000,2000,40106,Cana-de-açúcar,6244,valor_producao_mil_reais
6,Município,40,Mil Reais,13294,3500105,Adamantina (SP),215,Valor da produção,2001,2001,40106,Cana-de-açúcar,13294,valor_producao_mil_reais
6,Município,40,Mil Reais,18713,3500105,Adamantina (SP),215,Valor da produção,2002,2002,40106,Cana-de-açúcar,18713,valor_producao_mil_reais
6,Município,40,Mil Reais,19029,3500105,Adamantina (SP),215,Valor da produção,2003,2003,40106,Cana-de-açúcar,19029,valor_producao_mil_reais
6,Município,40,Mil Reais,15936,3500105,Adamantina (SP),215,Valor da produção,2004,2004,40106,Cana-de-açúcar,15936,valor_producao_mil_reais
6,Município,40,Mil Reais,20110,3500105,Adamantina (SP),215,Valor da produção,2005,2005,40106,Cana-de-açúcar,20110,valor_producao_mil_reais
6,Município,40,Mil Reais,19800,3500105,Adamantina (SP),215,Valor da produção,2006,2006,40106,Cana-de-açúcar,19800,valor_producao_mil_reais
6,Município,40,Mil Reais,37200,3500105,Adamantina (SP),215,Valor da produção,2007,2007,40106,Cana-de-açúcar,37200,valor_producao_mil_reais
6,Município,40,Mil Reais,35322,3500105,Adamantina (SP),215,Valor da produção,2008,2008,40106,Cana-de-açúcar,35322,valor_producao_mil_reais
6,Município,40,Mil Reais,40331,3500105,Adamantina (SP),215,Valor da produção,2009,2009,40106,Cana-de-açúcar,40331,valor_producao_mil_reais
6,Município,40,Mil Reais,36400,3500105,Adamantina (SP),215,Valor da produção,2010,2010,40106,Cana-de-açúcar,36400,valor_producao_mil_reais
6,Município,40,Mil Reais,40950,3500105,Adamantina (SP),215,Valor da produção,2011,2011,40106,Cana-de-açúcar,40950,valor_producao_mil_reais
6,Município,40,Mil Reais,49600,3500105,Adamantina (SP),215,Valor da produção,2012,2012,40106,Cana-de-açúcar,49600,valor_producao_mil_reais
6,Município,40,Mil Reais,55965,3500105,Adamantina (SP),215,Valor da produção,2013,2013,40106,Cana-de-açúcar,55965,valor_producao_mil_reais
6,Município,40,Mil Reais,43003,3500105,Adamantina (SP),215,Valor da produção,2014,2014,40106,Cana-de-açúcar,43003,valor_producao_mil_reais
6,Município,40,Mil Reais,61756,3500105,Adamantina (SP),215,Valor da produção,2015,2015,40106,Cana-de-açúcar,61756,valor_producao_mil_reais
6,Município,40,Mil Reais,59330,3500105,Adamantina (SP),215,Valor da produção,2016,2016,40106,Cana-de-açúcar,59330,valor_producao_mil_reais
