codigo_ibge,nome_municipio,latitude,longitude
3508207,Buritizal,-20.1933264,-47.7097165
3509254,Cajati,-24.7272376,-48.1077914
3514601,Dumont,-21.2391417,-47.9747665
3517109,Glicério,-21.3814805,-50.2100452
3547205,Santana da Ponte Pensa,-20.2543758,-50.7975649
3502002,Analândia,-22.128917,-47.661939
3537503,Pereiras,-23.0743096,-47.9746014
3507308,Boracéia,-22.195355,-48.7801925
3517307,Guaimbê,-21.909072,-49.89861
3518859,Guatapará,-21.496092,-48.0360685
3506706,Boa Esperança do Sul,-21.9930206,-48.3917372
3537909,Pilar do Sul,-23.8121684,-47.7201865
3528809,Maracaí,-22.6112679,-50.6670685
3520707,Indiaporã,-19.9802644,-50.2906035
3553401,Tanabi,-20.6251635,-49.6519879
3535903,Paranapuã,-20.1033995,-50.5858761
3549003,São Francisco,-20.3604438,-50.696603
3504305,Avaí,-22.1564662,-49.3316395
3533205,Nova Independência,-21.1066536,-51.4910804
3519253,Iaras,-22.8742567,-49.1593923
3512803,Cosmópolis,-22.6437398,-47.1972086
